Month,Region,Segment,Churn_Reason,Beginning_Customers,New_Customers,Lost_Customers,Net_Customers,Running_Total,Beginning_MRR,Expansion_MRR,Lost_MRR,Net_MRR,Running_Total_MRR,Churn_Rate,Retention_Rate,Missing_Records,Duplicate_Customers,Invalid_Churn_Records,Data_Quality_Status,Last_Updated_Date
2025-01-01,Hà Nội,Gen Z,Phí dịch vụ cao,3185,83,236,-153,3032,11982152539.277641,371721989.8811349,806508836.1418757,-434786846.2607408,11547365693.016901,0.07409733124018839,0.9259026687598116,0,0,0,Đạt,2026-06-14
2025-02-01,Hà Nội,Gen Z,Phí dịch vụ cao,3032,132,80,52,3084,11547365693.016901,443369744.1112593,263826742.13114423,179543001.98011506,11726908694.997017,0.026385224274406333,0.9736147757255936,0,0,0,Đạt,2026-06-14
2025-03-01,Hà Nội,Gen Z,Phí dịch vụ cao,3084,232,99,133,3217,11726908694.997017,744813891.1086432,363919147.0308818,380894744.07776135,12107803439.074778,0.032101167315175094,0.9678988326848249,0,0,0,Đạt,2026-06-14
2025-04-01,Hà Nội,Gen Z,Phí dịch vụ cao,3217,65,170,-105,3112,12107803439.074778,279183373.3565296,525849402.7200782,-246666029.36354858,11861137409.71123,0.052844264843021446,0.9471557351569786,0,0,0,Đạt,2026-06-14
2025-05-01,Hà Nội,Gen Z,Phí dịch vụ cao,3112,91,170,-79,3033,11861137409.71123,296349583.77656883,554576814.4854201,-258227230.70885128,11602910179.002378,0.05462724935732648,0.9453727506426736,0,0,0,Đạt,2026-06-14
2025-06-01,Hà Nội,Gen Z,Phí dịch vụ cao,3033,395,60,335,3368,11602910179.002378,1285907306.9988537,265076425.81079155,1020830881.1880622,12623741060.190441,0.019782393669634024,0.980217606330366,0,0,0,Đạt,2026-06-14
2025-07-01,Hà Nội,Gen Z,Phí dịch vụ cao,3368,77,317,-240,3128,12623741060.190441,242776791.165653,1155997417.780087,-913220626.614434,11710520433.576008,0.09412114014251781,0.9058788598574822,0,0,0,Đạt,2026-06-14
2025-08-01,Hà Nội,Gen Z,Phí dịch vụ cao,3128,157,202,-45,3083,11710520433.576008,547055264.4808136,709981978.1006042,-162926713.61979055,11547593719.956217,0.06457800511508952,0.9354219948849105,0,0,0,Đạt,2026-06-14
2025-09-01,Hà Nội,Gen Z,Phí dịch vụ cao,3083,375,252,123,3206,11547593719.956217,1527995431.9819186,1026127184.2814173,501868247.7005013,12049461967.656717,0.0817385663314953,0.9182614336685047,0,0,0,Đạt,2026-06-14
2025-10-01,Hà Nội,Gen Z,Phí dịch vụ cao,3206,298,301,-3,3203,12049461967.656717,1049617730.2397825,1289269957.625129,-239652227.38534653,11809809740.27137,0.09388646288209607,0.9061135371179039,0,0,0,Đạt,2026-06-14
