fact_id,time_id,region_id,segment_id,reason_id,Beginning_Customers,New_Customers,Lost_Customers,Net_Customers,Running_Total,Beginning_MRR,Expansion_MRR,Lost_MRR,Net_MRR,Running_Total_MRR,Churn_Rate,Retention_Rate,Missing_Records,Duplicate_Customers,Invalid_Churn_Records,Data_Quality_Status,Last_Updated_Date
1,1,1,1,1,3185,83,236,-153,3032,11982152539.27764,371721989.8811349,806508836.1418757,-434786846.2607408,11547365693.0169,0.0740973312401883,0.9259026687598116,0,0,0,Đạt,2026-06-14
2,2,1,1,1,3032,132,80,52,3084,11547365693.0169,443369744.1112593,263826742.13114423,179543001.98011506,11726908694.997017,0.0263852242744063,0.9736147757255936,0,0,0,Đạt,2026-06-14
3,3,1,1,1,3084,232,99,133,3217,11726908694.997017,744813891.1086432,363919147.0308818,380894744.07776135,12107803439.074778,0.032101167315175,0.9678988326848248,0,0,0,Đạt,2026-06-14
4,4,1,1,1,3217,65,170,-105,3112,12107803439.074778,279183373.3565296,525849402.7200782,-246666029.36354855,11861137409.71123,0.0528442648430214,0.9471557351569786,0,0,0,Đạt,2026-06-14
5,5,1,1,1,3112,91,170,-79,3033,11861137409.71123,296349583.77656883,554576814.4854201,-258227230.70885128,11602910179.002378,0.0546272493573264,0.9453727506426736,0,0,0,Đạt,2026-06-14
6,6,1,1,1,3033,395,60,335,3368,11602910179.002378,1285907306.9988537,265076425.81079155,1020830881.1880622,12623741060.19044,0.019782393669634,0.980217606330366,0,0,0,Đạt,2026-06-14
7,7,1,1,1,3368,77,317,-240,3128,12623741060.19044,242776791.165653,1155997417.780087,-913220626.614434,11710520433.576008,0.0941211401425178,0.9058788598574822,0,0,0,Đạt,2026-06-14
8,8,1,1,1,3128,157,202,-45,3083,11710520433.576008,547055264.4808136,709981978.1006042,-162926713.61979055,11547593719.956217,0.0645780051150895,0.9354219948849104,0,0,0,Đạt,2026-06-14
9,9,1,1,1,3083,375,252,123,3206,11547593719.956217,1527995431.9819186,1026127184.2814173,501868247.7005013,12049461967.656715,0.0817385663314953,0.9182614336685048,0,0,0,Đạt,2026-06-14
10,10,1,1,1,3206,298,301,-3,3203,12049461967.656715,1049617730.2397825,1289269957.625129,-239652227.38534653,11809809740.27137,0.093886462882096,0.906113537117904,0,0,0,Đạt,2026-06-14
11,11,1,1,1,3203,119,50,69,3272,11809809740.27137,491545011.4404541,175328187.590451,316216823.8500031,12126026564.121372,0.0156103652825476,0.9843896347174524,0,0,0,Đạt,2026-06-14
12,12,1,1,1,3272,93,62,31,3303,12126026564.121372,379923852.3694625,217666261.87683293,162257590.49262956,12288284154.614002,0.0189486552567237,0.9810513447432764,0,0,0,Đạt,2026-06-14
13,1,1,1,2,2503,266,41,225,2728,10640929158.471048,968531573.7555012,184558139.41163427,783973434.3438668,11424902592.814917,0.0163803435876947,0.9836196564123052,0,0,0,Đạt,2026-06-14
14,2,1,1,2,2728,317,220,97,2825,11424902592.814917,1405525019.595682,1084015806.7507372,321509212.8449449,11746411805.65986,0.0806451612903225,0.9193548387096774,0,0,0,Đạt,2026-06-14
15,3,1,1,2,2825,213,131,82,2907,11746411805.65986,886718203.8133496,470983302.39310807,415734901.42024153,12162146707.0801,0.0463716814159292,0.9536283185840708,0,0,0,Đạt,2026-06-14
16,4,1,1,2,2907,270,58,212,3119,12162146707.0801,1321952999.3574817,264490837.4382473,1057462161.9192344,13219608868.999336,0.0199518403852769,0.9800481596147232,0,0,0,Đạt,2026-06-14
17,5,1,1,2,3119,389,127,262,3381,13219608868.999336,1356184496.694873,464127557.10579735,892056939.5890758,14111665808.588411,0.0407181789034947,0.9592818210965052,4,0,0,Cần kiểm tra,2026-06-14
18,6,1,1,2,3381,168,110,58,3439,14111665808.588411,661219074.7843604,474215293.4451355,187003781.33922493,14298669589.927635,0.0325347530316474,0.9674652469683526,0,0,0,Đạt,2026-06-14
19,7,1,1,2,3439,230,70,160,3599,14298669589.927635,1012573362.2014592,327586613.52092093,684986748.6805382,14983656338.608175,0.0203547542890375,0.9796452457109625,0,0,0,Đạt,2026-06-14
20,8,1,1,2,3599,401,347,54,3653,14983656338.608175,1500137327.9320185,1307363405.6640656,192773922.26795268,15176430260.876127,0.0964156710197277,0.9035843289802724,0,0,0,Đạt,2026-06-14
21,9,1,1,2,3653,303,84,219,3872,15176430260.876127,1377417229.4609756,287688446.5143372,1089728782.9466386,16266159043.822763,0.0229947987955105,0.9770052012044894,0,0,0,Đạt,2026-06-14
22,10,1,1,2,3872,57,245,-188,3684,16266159043.822763,260797193.14448437,1177384627.9858155,-916587434.8413312,15349571608.981434,0.0632747933884297,0.9367252066115702,0,0,0,Đạt,2026-06-14
23,11,1,1,2,3684,178,214,-36,3648,15349571608.981434,634315327.1649956,796299881.3375866,-161984554.1725911,15187587054.808844,0.0580890336590662,0.9419109663409336,0,0,0,Đạt,2026-06-14
24,12,1,1,2,3648,90,73,17,3665,15187587054.808844,321101618.4267746,330123950.63386244,-9022332.207087817,15178564722.601755,0.0200109649122807,0.9799890350877192,0,0,0,Đạt,2026-06-14
25,1,1,1,3,2738,231,163,68,2806,1674368274.8382013,124246366.9286684,84889448.8516781,39356918.07699029,1713725192.9151917,0.0595325054784514,0.9404674945215484,0,0,0,Đạt,2026-06-14
26,2,1,1,3,2806,342,252,90,2896,1713725192.9151917,181579332.1708069,172581294.57696524,8998037.593841672,1722723230.5090332,0.089807555238774,0.910192444761226,0,0,0,Đạt,2026-06-14
27,3,1,1,3,2896,272,173,99,2995,1722723230.5090332,186626331.8073659,114959708.77898458,71666623.02838132,1794389853.5374146,0.0597375690607734,0.9402624309392266,0,0,0,Đạt,2026-06-14
